# ra dec outfile
180.73273503260774 -1.8360842306108958 40044239253411786.png
180.73890718024649 -1.836093187032241 40044239253411791.png
180.71418006634636 -1.798675140315833 40044239253413682.png
180.71110011624853 -1.7957925916773148 40044239253413811.png
180.7090986043568 -1.794015189647389 40044239253413916.png
180.72254966441776 -1.7825201977911123 40044239253414430.png
180.7285981569066 -1.7810649585804021 40044239253414480.png
180.72942288260276 -1.7654121176869615 40044239253415179.png
180.66731325070012 -1.8557058222662177 40044239253433631.png
180.7139366868603 -1.847545772662529 40044239253433829.png
180.72025751010744 -1.84631385012318 40044239253433967.png
180.72008347003396 -1.8464746595271406 40044239253433968.png
180.66672474822602 -1.8458581557055809 40044239253434018.png
180.7154305262363 -1.8430492188106082 40044239253434151.png
180.671188853969 -1.831169469013132 40044239253434720.png
180.74129841569214 -1.8294583909458837 40044239253434781.png
180.74026837082982 -1.82612336077289 40044239253434889.png
180.74309522268857 -1.826655722148187 40044239253434907.png
180.71822677942956 -1.8265789144559577 40044239253434951.png
180.70789049076106 -1.8241402040828703 40044239253435051.png
180.7141644522725 -1.8199167417017195 40044239253435172.png
180.71400661711743 -1.8188683073403245 40044239253435173.png
180.71927251877912 -1.8196698995418485 40044239253435225.png
180.7112490581136 -1.817564211088094 40044239253435310.png
180.6672634013248 -1.818461608335163 40044239253435320.png
180.67050808553068 -1.817816481038828 40044239253435333.png
180.7287372517046 -1.8165199848513862 40044239253435376.png
180.68871883080692 -1.8171641617710292 40044239253435403.png
180.7328061793117 -1.8099662746290224 40044239253435800.png
180.68921067397233 -1.8042141734580206 40044239253436056.png
180.67050536173258 -1.8036058261799934 40044239253436091.png
180.71655017595174 -1.7976771988024187 40044239253436341.png
180.7337636242759 -1.7956857955224281 40044239253436351.png
180.71563969744903 -1.7959381981348843 40044239253436411.png
180.71598304669283 -1.796625520479422 40044239253436413.png
180.72125255537347 -1.7902474775851513 40044239253436432.png
180.72041599248217 -1.7795272154488637 40044239253436445.png
180.72164290189076 -1.7796148770860243 40044239253436447.png
180.7217953040701 -1.7785816641846963 40044239253436458.png
180.72125781440738 -1.7783857147583109 40044239253436460.png
180.72186313507572 -1.7786769249244314 40044239253436465.png
180.72177100697604 -1.7801351476313463 40044239253436469.png
180.7238178814731 -1.7798382378707531 40044239253436480.png
180.73787937626008 -1.7920038424488514 40044239253436757.png
180.73730911207122 -1.791811012692508 40044239253436758.png
180.72294012856477 -1.791571637850808 40044239253436834.png
180.72556040600597 -1.7715262766399336 40044239253437641.png
180.68909291011832 -1.7652652923582934 40044239253437871.png
180.65822039389423 -1.6891145595861494 40044243548377321.png
180.70717178258195 -1.650826948280994 40044243548379224.png
180.65919452000412 -1.6417332967315261 40044243548379662.png
180.6795940907943 -1.6387360562757798 40044243548379765.png
180.67372100043605 -1.6380230097821304 40044243548379778.png
180.69747213366426 -1.6373608469477223 40044243548379806.png
180.683800514779 -1.6374360187011114 40044243548379807.png
180.72642995589126 -1.6194830755670457 40044243548380473.png
180.66671278840076 -1.6133299109434365 40044243548380734.png
180.65582242842905 -1.6067958913938918 40044243548381055.png
180.66682000822684 -1.605727356286782 40044243548381110.png
180.67255938688277 -1.594470661136836 40044243548381698.png
180.68455293721445 -1.594503225829314 40044243548381709.png
180.65567081935515 -1.5897432230534116 40044243548381972.png
180.7239232242797 -1.5803957063951712 40044243548382462.png
180.67372593693722 -1.5793670764371153 40044243548382510.png
180.7321012026058 -1.7636164257157145 40044243548395848.png
180.7308479136396 -1.762050336218311 40044243548395849.png
180.71513469320837 -1.7610610991848425 40044243548396020.png
180.66585788513746 -1.7604362110413454 40044243548396094.png
180.72447274459992 -1.7593082918649923 40044243548396196.png
180.65846392826293 -1.7243991755881525 40044243548397736.png
180.658505624635 -1.7159021010570594 40044243548398067.png
180.65768461632587 -1.691254705114267 40044243548399408.png
180.6842937695007 -1.6648380756435304 40044243548400688.png
180.6779421487595 -1.662846947520451 40044243548401002.png
180.6797677388272 -1.657737380544058 40044243548401003.png
180.67368058098288 -1.6494932517344634 40044243548401004.png
180.670850129268 -1.6562891566766436 40044243548401005.png
180.68265616085847 -1.656120222170977 40044243548401006.png
180.67789521161887 -1.6602922980719312 40044243548401007.png
180.673569023242 -1.6546326493101273 40044243548401008.png
180.67575946452357 -1.650692615187167 40044243548401009.png
180.68249581174757 -1.6545833937469392 40044243548401010.png
180.6728372822986 -1.6594145154762272 40044243548401016.png
180.66657568088712 -1.6645646583806695 40044243548401083.png
180.704036678293 -1.6642730585723835 40044243548401139.png
180.73632510206107 -1.662339328221572 40044243548401165.png
180.72409198573004 -1.6623292871033704 40044243548401184.png
180.69895743149561 -1.6626719063681605 40044243548401199.png
180.69232318346778 -1.6626831687053987 40044243548401214.png
180.69122037567897 -1.6605148307443018 40044243548401250.png
180.6710844497842 -1.6604370799967783 40044243548401267.png
180.68581185331428 -1.6615665693416628 40044243548401281.png
180.6871125699841 -1.6603156368632233 40044243548401282.png
180.66825090093994 -1.6583268200378336 40044243548401364.png
180.65899826038887 -1.6579304680937053 40044243548401366.png
180.7017005142323 -1.6577132276403679 40044243548401389.png
180.71097777578657 -1.6574376403163125 40044243548401400.png
180.69005430079577 -1.6573992399192057 40044243548401412.png
180.68943003971202 -1.6582591104738005 40044243548401423.png
180.73231461405567 -1.6542533950741523 40044243548401939.png
180.71951518051924 -1.6541342590536303 40044243548401984.png
180.72011619944004 -1.6536141584920094 40044243548401985.png
180.71964878493858 -1.65456806074818 40044243548401989.png
180.7002352860274 -1.650304270476055 40044243548402014.png
180.67112775028684 -1.6518398743767722 40044243548402034.png
180.6842690934161 -1.6519235951501872 40044243548402055.png
180.72169239625825 -1.651299963671517 40044243548402072.png
180.69392453229923 -1.6509880123155591 40044243548402086.png
180.67123936487795 -1.6492423611115785 40044243548402122.png
180.72612357039668 -1.6497221606213426 40044243548402366.png
180.74003572571598 -1.6477961787866688 40044243548402381.png
180.66769508436838 -1.648478562865936 40044243548402392.png
180.66656295056907 -1.647850861773466 40044243548402393.png
180.66829465509815 -1.6494870099987347 40044243548402394.png
180.66760140150535 -1.646166002296358 40044243548402395.png
180.67877204425125 -1.6443922675793448 40044243548402587.png
180.6600822239294 -1.6448271526665852 40044243548402599.png
180.70823601276183 -1.6435081146020776 40044243548402623.png
180.66676646542203 -1.6431691622600357 40044243548402677.png
180.66567159310347 -1.6435678179829363 40044243548402680.png
180.7072524093113 -1.6403411241836312 40044243548402715.png
180.6655470875543 -1.6385488052214725 40044243548402736.png
180.6699203696397 -1.6405232192122967 40044243548402783.png
180.6715722903254 -1.640236236369128 40044243548402784.png
180.67032908992837 -1.638077828190524 40044243548402786.png
180.69548292798814 -1.6369288129540207 40044243548402945.png
180.70975586959474 -1.636498814388786 40044243548402957.png
180.6571293565523 -1.633845824332592 40044243548403015.png
180.6573924250973 -1.6309389643018102 40044243548403037.png
180.6884431524634 -1.6352379923679283 40044243548403055.png
180.67405617484212 -1.6337037581165879 40044243548403074.png
180.71747909129618 -1.6345716240972405 40044243548403089.png
180.690745463536 -1.6331827130550542 40044243548403096.png
180.74155554519913 -1.623815051437709 40044243548403383.png
